北京,116.46,39.92
天津,117.2,39.13
上海,121.48,31.22
重慶,106.54,29.59
拉薩,91.11,29.97
烏魯木齊,87.68,43.77
銀川,106.27,38.47
呼和浩特,111.65,40.82
南寧,108.33,22.84
哈爾濱,126.63,45.75
長春,125.35,43.88
沈陽,123.38,41.8
石家莊,114.48,38.03
太原,112.53,37.87
寧,101.74,36.56
濟南,117,36.65
鄭州,113.6,34.76
南京,118.78,32.04
合肥,117.27,31.86
杭州,120.19,30.26
福州,119.3,26.08
南昌,115.89,28.68
長沙,113,28.21
武漢,114.31,30.52
廣州,113.23,23.16
台北,121.5,25.05
海口,110.35,20.02
蘭州,103.73,36.03
西安,108.95,34.27
成都,104.06,30.67
貴陽,106.71,26.57
昆明,102.73,25.04
香港,114.1,22.2
澳門,113.33,22.13
